YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,8,3,1,OO,6530,N760SK,SEA,SFO,1418,1415.0,-3.0,17.0,1432.0,131.0,122.0,102.0,679,1614.0,3.0,1629,1617.0,-12.0,0,0,,,,,,
2015,1,30,5,EV,5152,N856AS,MOB,ATL,1844,1837.0,-7.0,9.0,1846.0,71.0,64.0,46.0,302,2032.0,9.0,2055,2041.0,-14.0,0,0,,,,,,
2015,3,30,1,OO,7414,N432SW,RHI,MSP,703,725.0,22.0,15.0,740.0,67.0,58.0,37.0,190,817.0,6.0,810,823.0,13.0,0,0,,,,,,
2015,12,28,1,WN,2229,N263WN,OAK,BUR,1505,1542.0,37.0,8.0,1550.0,65.0,55.0,44.0,325,1634.0,3.0,1610,1637.0,27.0,0,0,,0.0,0.0,1.0,26.0,0.0
2015,5,26,2,UA,1583,N69838,PIT,SFO,615,624.0,9.0,10.0,634.0,331.0,307.0,294.0,2254,828.0,3.0,846,831.0,-15.0,0,0,,,,,,
2015,3,16,1,AS,28,N320AS,SEA,MSP,1845,1839.0,-6.0,15.0,1854.0,192.0,172.0,153.0,1399,2327.0,4.0,2357,2331.0,-26.0,0,0,,,,,,
2015,8,25,2,AA,2373,N857AA,LAX,DFW,1805,1801.0,-4.0,11.0,1812.0,190.0,171.0,156.0,1235,2248.0,4.0,2315,2252.0,-23.0,0,0,,,,,,
2015,7,3,5,NK,943,N519NK,ORD,ACY,650,645.0,-5.0,10.0,655.0,114.0,107.0,92.0,720,927.0,5.0,944,932.0,-12.0,0,0,,,,,,
2015,4,6,1,DL,2128,N830DN,DTW,MCO,1020,1014.0,-6.0,18.0,1032.0,162.0,142.0,120.0,957,1232.0,4.0,1302,1236.0,-26.0,0,0,,,,,,
2015,1,23,5,EV,4497,N29917,MEM,IAH,1010,959.0,-11.0,15.0,1014.0,111.0,121.0,95.0,468,1149.0,11.0,1201,1200.0,-1.0,0,0,,,,,,
2015,1,16,5,UA,1588,N16217,IAH,RSW,1919,1926.0,7.0,17.0,1943.0,126.0,117.0,96.0,861,2219.0,4.0,2225,2223.0,-2.0,0,0,,,,,,
2015,8,6,4,AA,606,N569UW,DFW,PHX,2120,2129.0,9.0,15.0,2144.0,146.0,139.0,116.0,868,2140.0,8.0,2146,2148.0,2.0,0,0,,,,,,
2015,11,6,5,EV,5186,N753EV,MEM,LGA,630,626.0,-4.0,11.0,637.0,153.0,161.0,143.0,963,1000.0,7.0,1003,1007.0,4.0,0,0,,,,,,
2015,9,30,3,WN,151,N251WN,LAS,SLC,2115,2114.0,-1.0,9.0,2123.0,75.0,69.0,57.0,368,2320.0,3.0,2330,2323.0,-7.0,0,0,,,,,,
2015,12,30,3,DL,1103,N681DA,FLL,MSP,1529,1538.0,9.0,30.0,1608.0,232.0,229.0,187.0,1487,1815.0,12.0,1821,1827.0,6.0,0,0,,,,,,
2015,1,31,6,WN,3352,N8303R,LAX,MDW,645,640.0,-5.0,16.0,656.0,235.0,233.0,213.0,1750,1229.0,4.0,1240,1233.0,-7.0,0,0,,,,,,
2015,4,10,5,HA,16,N386HA,HNL,SAN,1320,1316.0,-4.0,14.0,1330.0,325.0,332.0,314.0,2614,2144.0,4.0,2145,2148.0,3.0,0,0,,,,,,
2015,5,15,5,AS,633,N407AS,PHX,SEA,1500,1514.0,14.0,32.0,1546.0,173.0,182.0,146.0,1107,1812.0,4.0,1753,1816.0,23.0,0,0,,9.0,0.0,1.0,13.0,0.0
2015,7,7,2,WN,1267,N605SW,MCO,BUF,715,712.0,-3.0,8.0,720.0,150.0,143.0,132.0,1011,932.0,3.0,945,935.0,-10.0,0,0,,,,,,
2015,4,15,3,MQ,3294,N645MQ,SPS,DFW,1825,1824.0,-1.0,11.0,1835.0,49.0,45.0,23.0,113,1858.0,11.0,1914,1909.0,-5.0,0,0,,,,,,
2015,12,3,4,WN,579,N526SW,MSY,HOU,925,922.0,-3.0,9.0,931.0,70.0,72.0,58.0,302,1029.0,5.0,1035,1034.0,-1.0,0,0,,,,,,
2015,5,10,7,UA,520,N847UA,ORD,MSY,905,903.0,-2.0,28.0,931.0,144.0,153.0,121.0,837,1132.0,4.0,1129,1136.0,7.0,0,0,,,,,,
2015,5,6,3,WN,402,N767SW,BWI,DTW,1530,1616.0,46.0,7.0,1623.0,95.0,79.0,65.0,409,1728.0,7.0,1705,1735.0,30.0,0,0,,0.0,0.0,6.0,24.0,0.0
2015,5,29,5,EV,6104,N14125,IAH,ISN,955,1017.0,22.0,26.0,1043.0,222.0,197.0,166.0,1330,1329.0,5.0,1337,1334.0,-3.0,0,0,,,,,,
2015,11,24,2,DL,2506,N991DL,ATL,ECP,1355,1352.0,-3.0,17.0,1409.0,64.0,61.0,40.0,240,1349.0,4.0,1359,1353.0,-6.0,0,0,,,,,,
2015,4,30,4,US,641,N823AW,IAH,PHX,550,546.0,-4.0,17.0,603.0,170.0,157.0,136.0,1009,619.0,4.0,640,623.0,-17.0,0,0,,,,,,
2015,11,9,1,OO,4809,N603QX,SJC,SEA,755,756.0,1.0,16.0,812.0,138.0,130.0,104.0,697,956.0,10.0,1013,1006.0,-7.0,0,0,,,,,,
2015,8,25,2,DL,709,N326US,PHL,MSP,1715,1710.0,-5.0,17.0,1727.0,174.0,157.0,136.0,980,1843.0,4.0,1909,1847.0,-22.0,0,0,,,,,,
2015,11,10,2,DL,1836,N303DQ,CHS,ATL,730,727.0,-3.0,16.0,743.0,80.0,68.0,47.0,259,830.0,5.0,850,835.0,-15.0,0,0,,,,,,
2015,9,16,3,DL,1408,N3734B,OAK,SLC,610,607.0,-3.0,17.0,624.0,105.0,100.0,78.0,588,842.0,5.0,855,847.0,-8.0,0,0,,,,,,
2015,1,23,5,DL,1494,N907DA,PHL,ATL,1130,1136.0,6.0,19.0,1155.0,141.0,146.0,118.0,666,1353.0,9.0,1351,1402.0,11.0,0,0,,,,,,
2015,7,22,3,OO,2871,N869AS,LAX,SAN,1400,1353.0,-7.0,28.0,1421.0,54.0,63.0,27.0,109,1448.0,8.0,1454,1456.0,2.0,0,0,,,,,,
2015,8,7,5,OO,4506,N8903A,MSP,LSE,2209,2217.0,8.0,16.0,2233.0,50.0,42.0,23.0,119,2256.0,3.0,2259,2259.0,0.0,0,0,,,,,,
2015,3,14,6,WN,1324,N746SW,RSW,DEN,1700,1706.0,6.0,9.0,1715.0,260.0,234.0,218.0,1607,1853.0,7.0,1920,1900.0,-20.0,0,0,,,,,,
2015,4,1,3,AA,1642,N3CXAA,MIA,DCA,1825,1822.0,-3.0,14.0,1836.0,154.0,150.0,127.0,919,2043.0,9.0,2059,2052.0,-7.0,0,0,,,,,,
2015,6,16,2,DL,1195,N955AT,ATL,IAD,1459,1510.0,11.0,17.0,1527.0,121.0,100.0,78.0,534,1645.0,5.0,1700,1650.0,-10.0,0,0,,,,,,
2015,12,24,4,B6,570,N834JB,FLL,BOS,1241,1234.0,-7.0,10.0,1244.0,188.0,173.0,158.0,1237,1522.0,5.0,1549,1527.0,-22.0,0,0,,,,,,
2015,1,5,1,MQ,3362,N521MQ,MAF,DFW,845,847.0,2.0,25.0,912.0,80.0,87.0,47.0,309,959.0,15.0,1005,1014.0,9.0,0,0,,,,,,
2015,12,23,3,AA,2107,N103US,JAX,CLT,1530,1528.0,-2.0,23.0,1551.0,82.0,94.0,58.0,328,1649.0,13.0,1652,1702.0,10.0,0,0,,,,,,
2015,4,15,3,OO,4447,N809SK,MKE,DTW,1830,1827.0,-3.0,12.0,1839.0,69.0,65.0,43.0,237,2022.0,10.0,2039,2032.0,-7.0,0,0,,,,,,
2015,11,3,2,UA,645,N37465,MFE,IAH,631,628.0,-3.0,87.0,755.0,77.0,146.0,52.0,316,847.0,7.0,748,854.0,66.0,0,0,,66.0,0.0,0.0,0.0,0.0
2015,6,18,4,WN,403,N700GS,BWI,ALB,1905,1913.0,8.0,13.0,1926.0,75.0,72.0,56.0,289,2022.0,3.0,2020,2025.0,5.0,0,0,,,,,,
2015,8,10,1,OO,5193,N140SY,STL,ORD,1649,1849.0,120.0,14.0,1903.0,84.0,79.0,51.0,258,1954.0,14.0,1813,2008.0,115.0,0,0,,0.0,0.0,10.0,105.0,0.0
2015,11,27,5,MQ,3189,N0EGMQ,ORD,ABQ,2010,2016.0,6.0,22.0,2038.0,190.0,210.0,183.0,1118,2241.0,5.0,2220,2246.0,26.0,0,0,,20.0,0.0,6.0,0.0,0.0
2015,4,7,2,WN,3572,N245WN,SAT,STL,555,550.0,-5.0,10.0,600.0,125.0,116.0,102.0,786,742.0,4.0,800,746.0,-14.0,0,0,,,,,,
2015,8,31,1,MQ,3127,N620MQ,ORD,MLI,2025,2028.0,3.0,21.0,2049.0,63.0,50.0,24.0,139,2113.0,5.0,2128,2118.0,-10.0,0,0,,,,,,
2015,4,30,4,HA,29,N395HA,SEA,OGG,1025,1018.0,-7.0,12.0,1030.0,360.0,343.0,317.0,2640,1247.0,14.0,1325,1301.0,-24.0,0,0,,,,,,
2015,8,15,6,DL,2534,N3757D,LAX,BOS,940,937.0,-3.0,22.0,959.0,340.0,379.0,340.0,2611,1839.0,17.0,1820,1856.0,36.0,0,0,,36.0,0.0,0.0,0.0,0.0
2015,3,31,2,MQ,3152,N906MQ,DFW,RAP,1835,1835.0,0.0,12.0,1847.0,153.0,130.0,114.0,835,1941.0,4.0,2008,1945.0,-23.0,0,0,,,,,,
2015,2,15,7,DL,2461,N933DL,ATL,MEM,1900,1855.0,-5.0,25.0,1920.0,89.0,87.0,57.0,332,1917.0,5.0,1929,1922.0,-7.0,0,0,,,,,,
2015,8,4,2,OO,4753,N614SK,ONT,SLC,1015,1004.0,-11.0,14.0,1018.0,103.0,96.0,77.0,558,1235.0,5.0,1258,1240.0,-18.0,0,0,,,,,,
2015,1,13,2,UA,1565,N66808,MSY,IAH,1321,1319.0,-2.0,8.0,1327.0,79.0,69.0,57.0,305,1424.0,4.0,1440,1428.0,-12.0,0,0,,,,,,
2015,9,23,3,DL,2642,N943DN,ATL,CLT,1500,1458.0,-2.0,13.0,1511.0,77.0,54.0,36.0,226,1547.0,5.0,1617,1552.0,-25.0,0,0,,,,,,
2015,11,21,6,UA,1968,N69847,SAN,EWR,2124,2129.0,5.0,12.0,2141.0,304.0,283.0,263.0,2425,504.0,8.0,528,512.0,-16.0,0,0,,,,,,
2015,2,12,4,US,1970,N764US,CLT,BWI,1320,1314.0,-6.0,19.0,1333.0,82.0,78.0,53.0,361,1426.0,6.0,1442,1432.0,-10.0,0,0,,,,,,
2015,8,11,2,WN,1131,N414WN,DAL,LIT,815,813.0,-2.0,10.0,823.0,65.0,58.0,44.0,296,907.0,4.0,920,911.0,-9.0,0,0,,,,,,
2015,12,13,7,AA,2507,N3LYAA,ORD,LGA,933,928.0,-5.0,10.0,938.0,127.0,102.0,86.0,733,1204.0,6.0,1240,1210.0,-30.0,0,0,,,,,,
2015,11,30,1,EV,6167,N14904,CWA,ORD,1539,1540.0,1.0,12.0,1552.0,68.0,83.0,51.0,213,1643.0,20.0,1647,1703.0,16.0,0,0,,15.0,0.0,1.0,0.0,0.0
2015,1,9,5,US,1826,N171US,BOS,PHL,730,725.0,-5.0,26.0,751.0,105.0,120.0,91.0,280,922.0,3.0,915,925.0,10.0,0,0,,,,,,
2015,3,2,1,UA,1228,N39728,DEN,PHX,1159,1206.0,7.0,12.0,1218.0,115.0,128.0,112.0,602,1410.0,4.0,1354,1414.0,20.0,0,0,,13.0,0.0,7.0,0.0,0.0
2015,3,4,3,AA,1513,N017AA,DFW,ATL,700,706.0,6.0,14.0,720.0,120.0,140.0,106.0,731,1006.0,20.0,1000,1026.0,26.0,0,0,,20.0,0.0,6.0,0.0,0.0
2015,11,9,1,AA,2245,N3BTAA,MIA,SAN,1945,2108.0,83.0,22.0,2130.0,337.0,334.0,308.0,2267,2338.0,4.0,2222,2342.0,80.0,0,0,,0.0,80.0,0.0,0.0,0.0
2015,6,19,5,US,673,N665AW,CLT,IAH,2020,2037.0,17.0,13.0,2050.0,153.0,141.0,122.0,912,2152.0,6.0,2153,2158.0,5.0,0,0,,,,,,
2015,8,17,1,WN,830,N472WN,LGA,ATL,1625,1636.0,11.0,21.0,1657.0,165.0,,,762,2119.0,9.0,1910,2128.0,,1,0,,,,,,
2015,12,18,5,DL,2787,N3744F,BNA,LAX,1758,1844.0,46.0,13.0,1857.0,291.0,256.0,239.0,1797,2056.0,4.0,2049,2100.0,11.0,0,0,,,,,,
2015,6,7,7,WN,4053,N7743B,MSY,FLL,1550,1547.0,-3.0,7.0,1554.0,115.0,107.0,97.0,674,1831.0,3.0,1845,1834.0,-11.0,0,0,,,,,,
2015,9,12,6,WN,1268,N211WN,DCA,STL,1840,1832.0,-8.0,10.0,1842.0,130.0,113.0,98.0,719,1920.0,5.0,1950,1925.0,-25.0,0,0,,,,,,
2015,3,25,3,OO,5231,N903SW,DEN,SLC,1540,1627.0,47.0,13.0,1640.0,93.0,77.0,60.0,391,1740.0,4.0,1713,1744.0,31.0,0,0,,0.0,0.0,0.0,31.0,0.0
2015,9,2,3,B6,3,N508JB,JFK,SJU,800,755.0,-5.0,35.0,830.0,235.0,234.0,192.0,1598,1142.0,7.0,1155,1149.0,-6.0,0,0,,,,,,
2015,3,6,5,EV,5234,N852AS,ATL,ILM,1642,1754.0,72.0,18.0,1812.0,82.0,74.0,52.0,377,1904.0,4.0,1804,1908.0,64.0,0,0,,0.0,0.0,0.0,64.0,0.0
2015,1,31,6,UA,269,N456UA,IAH,SNA,1520,1514.0,-6.0,12.0,1526.0,224.0,193.0,175.0,1346,1621.0,6.0,1704,1627.0,-37.0,0,0,,,,,,
2015,9,12,6,EV,5235,N738EV,DTW,ORF,2016,2013.0,-3.0,18.0,2031.0,113.0,106.0,85.0,529,2156.0,3.0,2209,2159.0,-10.0,0,0,,,,,,
2015,7,22,3,WN,307,N465WN,ATL,SFO,825,831.0,6.0,23.0,854.0,315.0,305.0,274.0,2139,1028.0,8.0,1040,1036.0,-4.0,0,0,,,,,,
2015,3,5,4,DL,812,N986AT,ATL,ORD,1102,1100.0,-2.0,24.0,1124.0,125.0,116.0,86.0,606,1150.0,6.0,1207,1156.0,-11.0,0,0,,,,,,
2015,8,31,1,UA,579,N833UA,DEN,BIL,1123,1157.0,34.0,11.0,1208.0,91.0,76.0,61.0,455,1309.0,4.0,1254,1313.0,19.0,0,0,,0.0,0.0,19.0,0.0,0.0
2015,11,11,3,WN,5224,N409WN,RDU,TPA,1740,1751.0,11.0,14.0,1805.0,110.0,104.0,85.0,587,1930.0,5.0,1930,1935.0,5.0,0,0,,,,,,
2015,9,14,1,AA,1964,N714US,MEM,CLT,755,751.0,-4.0,12.0,803.0,107.0,97.0,75.0,511,1018.0,10.0,1042,1028.0,-14.0,0,0,,,,,,
2015,4,2,4,DL,129,N547US,SLC,SEA,1504,1503.0,-1.0,13.0,1516.0,121.0,119.0,100.0,689,1556.0,6.0,1605,1602.0,-3.0,0,0,,,,,,
2015,2,19,4,UA,520,N452UA,ORD,DEN,1627,1652.0,25.0,14.0,1706.0,163.0,145.0,126.0,888,1812.0,5.0,1810,1817.0,7.0,0,0,,,,,,
2015,4,24,5,WN,142,N762SW,SNA,LAS,1400,1415.0,15.0,5.0,1420.0,65.0,56.0,47.0,226,1507.0,4.0,1505,1511.0,6.0,0,0,,,,,,
2015,11,11,3,WN,2547,N278WN,LAS,RNO,1300,1258.0,-2.0,16.0,1314.0,80.0,77.0,57.0,345,1411.0,4.0,1420,1415.0,-5.0,0,0,,,,,,
2015,12,2,3,NK,1068,N517NK,LAS,CLE,928,944.0,16.0,14.0,958.0,234.0,241.0,219.0,1824,1637.0,8.0,1622,1645.0,23.0,0,0,,23.0,0.0,0.0,0.0,0.0
2015,4,12,7,DL,498,N395DN,JFK,SEA,1040,1037.0,-3.0,21.0,1058.0,372.0,354.0,329.0,2422,1327.0,4.0,1352,1331.0,-21.0,0,0,,,,,,
